InvoiceDate;CustomerID;InvoiceNo;StockCode;Description;Country;UnitPrice;Quantity
2023-08-20 23:23:47;7331356;GPA.9956-2060-8801-13405;turns 2;turns;IN;1;2
2023-08-22 20:11:08;7336954;GPA.7639-4384-6717-11103;turns 2;turns;GB;8;2
2023-08-23 21:16:55;7340292;GPA.3295-7970-6626-64437;turns 2;turns;CN;12;1
2023-08-23 23:20:14;7335480;GPA.8431-2615-6911-86493;turns 2;turns;FR;50;2
2023-08-24 00:51:39;7342409;GPA.5745-4325-9296-39430;turns 2;turns;IN;1;3
2023-08-24 20:35:42;7327617;GPA.9563-8446-7109-35952;turns 2;turns;GB;50;3
2023-08-26 13:41:56;7348847;GPA.2192-3166-4223-37755;turns 2;turns;US;50;4
2023-08-26 19:48:31;7351077;GPA.4204-2952-8564-52685;turns 2;turns;US;50;4
2023-08-27 12:49:17;7338327;GPA.9769-2799-8996-36303;turns 2;turns;IT;2.5;3
2023-08-27 16:27:39;7352593;GPA.9544-4139-3880-19820;turns 2;turns;CN;1;3
2023-08-27 23:05:28;7354353;GPA.7022-5692-5284-34576;turns 2;turns;CN;12;2
2023-08-28 00:08:27;7352640;GPA.3884-9998-4138-93471;turns 2;turns;IT;50;5
2023-08-28 15:32:04;7357272;GPA.6357-8713-6700-34196;turns 2;turns;GB;1;1
2023-08-28 18:50:08;7355497;GPA.1278-7278-3221-29284;turns 2;turns;US;12;4
2023-08-29 00:29:58;7357257;GPA.4811-7947-1629-61622;turns 2;turns;TR;50;5
2023-08-30 19:11:08;7362107;GPA.8735-6852-7353-80724;turns 2;turns;US;50;4
2023-08-31 22:55:43;7345375;GPA.1605-9253-8203-60641;turns 2;turns;US;1;2
2023-09-01 20:56:08;7362022;GPA.6483-8004-2358-52464;turns 2;turns;US;8;2
2023-09-04 08:45:49;7382331;GPA.8122-7889-9593-75730;turns 2;turns;US;1;1
2023-09-04 19:52:02;7382548;GPA.3793-3832-8755-55362;turns 2;turns;GB;1;3
2023-09-06 01:25:03;7356592;GPA.9633-8439-1124-68234;turns 5;turns;FR;50;6
2023-09-06 13:52:13;7390665;GPA.8280-4157-7304-69506;turns 2;turns;FR;12;2
2023-09-06 14:15:12;7389722;GPA.1156-1132-1724-28180;turns 2;turns;US;12;4
2023-09-07 22:56:23;7391014;GPA.8220-3060-7878-43976;turns 2;turns;CN;12;1
2023-09-08 19:33:32;7396628;GPA.6744-8679-6726-36409;turns 2;turns;US;12;3
2023-09-09 14:54:19;7394129;GPA.5865-7597-2189-28155;turns 2;turns;FR;1;2
2023-09-09 22:00:03;7398209;GPA.4965-6350-9895-30904;turns 2;turns;IN;8;1
2023-09-10 00:16:13;7401266;GPA.3011-4971-7315-59869;turns 2;turns;TR;50;5
2023-09-10 23:56:10;7405488;GPA.3470-5665-5240-38981;turns 2;turns;IT;2.5;1
2023-09-11 00:07:50;7396191;GPA.6778-8946-5579-42085;turns 2;turns;CN;1;2
2023-09-12 00:04:03;7385533;GPA.6142-8107-5298-13446;turns 2;turns;FR;2.5;5
2023-09-13 13:01:59;7414632;GPA.1194-9728-6967-97495;turns 2;turns;US;8;2
2023-09-13 18:42:18;7412521;GPA.5989-6524-9722-89939;turns 2;turns;US;50;4
2023-09-14 03:16:31;7414906;GPA.9824-5198-7673-84768;turns 2;turns;GB;12;4
2023-09-14 11:39:29;7371726;GPA.9379-2988-2441-99174;turns 2;turns;US;1;7
2023-09-16 10:57:49;7424109;GPA.2423-9190-9489-10900;turns 2;turns;ID;12;1
2023-09-16 16:38:10;7422838;GPA.9478-9863-2264-15065;turns 2;turns;BR;2.5;1
2023-09-18 07:34:14;7432532;GPA.8216-3987-4185-52622;turns 2;turns;US;12;1
2023-09-18 21:59:52;7432587;GPA.2444-2948-4674-16478;turns 2;turns;FR;8;1
2023-09-19 03:37:02;7394182;GPA.2033-3947-9452-21870;turns 5;turns;ID;50;5
2023-09-20 20:03:43;7436620;GPA.9248-5250-6136-32537;turns 2;turns;FR;50;4
2023-09-21 10:04:51;7442182;GPA.9407-9731-8868-74900;turns 2;turns;IT;2.5;1
2023-09-21 13:08:30;7380077;GPA.5069-3254-5143-80083;turns 2;turns;US;2.5;7
2023-09-21 23:02:19;7440777;GPA.7011-3880-3442-61566;turns 2;turns;IN;50;4
2023-09-22 17:46:58;7444178;GPA.9686-7287-6564-70068;turns 2;turns;FR;1;2
2023-09-23 23:06:30;7448845;GPA.8320-7235-6682-68087;turns 2;turns;GB;1;3
2023-09-23 23:06:30;7448845;GPA.8320-7235-6682-68087;turns 5;turns;GB;1;3
2023-09-24 01:53:22;7446448;GPA.2237-8868-9229-16652;turns 2;turns;RU;50;2
2023-09-26 19:51:24;7461293;GPA.5283-6303-5971-50508;turns 2;turns;US;1;3
2023-09-26 21:04:22;7462585;GPA.1487-7374-4814-80617;turns 2;turns;IN;50;1
2023-09-26 21:34:36;7458446;GPA.6544-8886-1785-31332;turns 2;turns;CN;8;1
2023-09-26 23:59:11;7463046;GPA.4436-8989-6167-28519;turns 2;turns;IT;12;4
2023-09-27 16:42:03;7470948;GPA.5013-1497-2614-73917;turns 2;turns;US;1;2
2023-09-27 22:32:14;7468847;GPA.5456-2141-1196-34981;turns 2;turns;CN;8;1
2023-09-28 12:38:15;7474513;GPA.8181-4253-3729-59779;turns 2;turns;US;12;4
2023-09-29 00:49:41;7471767;GPA.1061-9605-4317-40371;turns 5;turns;ID;2.5;1
2023-09-29 12:12:42;7478106;GPA.2678-4745-3017-31925;turns 2;turns;GB;12;4
2023-10-01 02:49:05;7388535;GPA.5719-5153-5057-19750;turns 2;turns;US;1;17
2023-10-01 07:09:21;7414348;GPA.7218-9209-6797-67877;turns 2;turns;CN;2.5;9
2023-10-03 16:03:35;7493103;GPA.4728-9639-7218-20141;turns 2;turns;IT;50;2
2023-10-04 09:20:12;7447926;GPA.4782-8662-2180-39898;turns 2;turns;US;50;3
2023-10-05 00:22:24;7408910;GPA.1388-6394-4198-90645;turns 2;turns;RU;1;13
2023-10-05 00:35:20;7478615;GPA.2365-4255-1054-58824;turns 2;turns;FR;50;2
2023-10-05 18:35:07;7501201;GPA.5105-3446-2221-76906;turns 2;turns;US;50;5
2023-10-05 18:59:43;7500499;GPA.2876-7650-3963-70736;turns 2;turns;US;12;1
2023-10-06 20:26:25;7504488;GPA.3434-6987-8424-19855;turns 2;turns;US;1;2
2023-10-08 19:56:37;7515814;GPA.7107-3896-8741-63189;turns 2;turns;US;12;3
2023-10-08 19:56:37;7515814;GPA.2852-5010-7140-27395;turns 2;turns;US;1;2
2023-10-10 23:19:19;7505625;GPA.1033-2575-9275-10828;turns 2;turns;ID;50;5
2023-10-11 01:34:28;7521600;GPA.6368-3076-4222-47552;turns 2;turns;TR;50;5
2023-10-12 18:40:30;7504025;GPA.8018-2269-9996-18575;turns 2;turns;US;12;3
2023-10-12 20:35:50;7530756;GPA.8677-9694-8979-61503;turns 2;turns;US;1;3
2023-10-12 20:35:50;7530756;GPA.6535-7918-9401-35332;turns 2;turns;US;50;4
2023-10-12 21:35:29;7533147;GPA.5994-3039-8159-73426;turns 2;turns;IN;12;4
2023-10-12 22:25:12;7531268;GPA.4684-3779-5571-65019;turns 2;turns;ID;1;1
2023-10-13 12:23:35;7447589;GPA.2063-2379-5911-87986;turns 2;turns;US;2.5;8
2023-10-14 04:32:32;7539290;GPA.2551-6729-6423-37144;turns 2;turns;US;50;3
2023-10-15 13:11:10;7542646;GPA.2551-1087-6163-68021;turns 2;turns;TR;50;4
2023-10-15 17:35:33;7415941;GPA.6948-7475-1112-90960;turns 2;turns;US;1;28
2023-10-16 16:11:19;7548617;GPA.4404-9249-1081-98648;turns 2;turns;TR;8;2
