InvoiceDate;CustomerID;InvoiceNo;StockCode;Description;Country;UnitPrice;Quantity
2023-08-19 08:08:37;18302575;GPA.4818-2881-1154-10178;dynamite 2;dynamite;US;2.5;1
2023-08-19 11:36:00;18300845;GPA.4332-5259-8780-57325;dynamite 5;dynamite;ID;1;1
2023-08-19 19:41:37;18304908;GPA.4313-4149-6206-26173;dynamite 2;dynamite;US;12;1
2023-08-19 19:44:09;18305638;GPA.8859-5040-9658-22951;dynamite 2;dynamite;GB;8;1
2023-08-19 23:16:42;18307947;GPA.6081-1599-1516-65957;dynamite 2;dynamite;CN;50;1
2023-08-21 05:08:48;18312564;GPA.1555-2142-9271-90373;dynamite 2;dynamite;BR;8;1
2023-08-21 08:26:15;18331000;GPA.7960-5768-9715-21679;dynamite 2;dynamite;US;8;1
2023-08-21 11:29:22;18333952;GPA.3689-1188-2521-37427;dynamite 5;dynamite;IT;8;1
2023-08-21 11:39:24;18335703;GPA.7457-5106-1437-58803;dynamite 2;dynamite;ID;1;1
2023-08-21 15:12:14;18330285;GPA.2211-2686-5667-70990;dynamite 2;dynamite;IT;2.5;1
2023-08-21 19:17:09;18325581;GPA.9048-2457-4073-52985;dynamite 2;dynamite;US;50;1
2023-08-21 19:52:33;18336690;GPA.7528-2937-9590-92642;dynamite 2;dynamite;GB;12;1
2023-08-21 22:04:31;18329562;GPA.4009-4546-8789-69890;dynamite 2;dynamite;SA;8;1
2023-08-21 23:18:08;18315847;GPA.9074-6024-2420-66174;dynamite 2;dynamite;GB;50;1
2023-08-21 23:43:21;18325951;GPA.2992-6418-1478-61799;dynamite 2;dynamite;IT;1;1
2023-08-22 16:52:24;18339268;GPA.7802-9819-2127-89260;dynamite 2;dynamite;SA;8;1
2023-08-22 21:28:03;18340125;GPA.3058-6980-6065-29231;dynamite 2;dynamite;GB;1;1
2023-08-22 23:47:57;18339408;GPA.6407-9894-5844-31922;dynamite 2;dynamite;GB;12;1
2023-08-23 21:48:43;18354545;GPA.7921-6811-2654-61936;dynamite 2;dynamite;SA;1;1
2023-08-23 23:08:29;18354090;GPA.7829-6976-5454-54851;dynamite 2;dynamite;ID;8;1
2023-08-24 00:08:17;18335073;GPA.4193-4203-2700-59091;dynamite 2;dynamite;CN;50;1
2023-08-24 01:48:58;18370335;GPA.5699-7960-6075-45203;dynamite 2;dynamite;IT;1;1
2023-08-24 02:56:33;18361071;GPA.1087-5256-6834-12411;dynamite 2;dynamite;IT;50;1
2023-08-24 18:48:08;18364126;GPA.4371-2835-2957-49785;dynamite 2;dynamite;US;1;1
2023-08-24 21:57:27;18369973;GPA.7779-7053-2715-62042;dynamite 2;dynamite;GB;8;1
2023-08-25 14:18:53;18372744;GPA.9139-2640-3489-21091;dynamite 2;dynamite;SA;1;1
2023-08-26 09:08:20;18389350;GPA.5658-1722-3930-83986;dynamite 2;dynamite;ID;1;1
2023-08-26 15:13:42;18385042;GPA.1237-6053-5846-70191;dynamite 2;dynamite;US;12;1
2023-08-27 05:49:55;18397355;GPA.6844-2470-2991-14646;dynamite 2;dynamite;CN;50;1
2023-08-27 08:07:53;18385201;GPA.6690-1358-6628-26926;dynamite 5;dynamite;US;1;1
2023-08-27 15:22:07;18405423;GPA.9088-6572-3185-84046;dynamite 2;dynamite;US;12;1
2023-08-27 18:27:51;18403918;GPA.6653-9965-7821-13390;dynamite 2;dynamite;GB;1;1
2023-08-27 19:33:00;18328408;GPA.3011-1202-9828-26471;dynamite 2;dynamite;US;50;1
2023-08-28 00:57:54;18395375;GPA.1474-9218-9675-20733;dynamite 2;dynamite;FR;2.5;1
2023-08-28 07:02:34;18409586;GPA.9051-4997-3072-77410;dynamite 2;dynamite;US;2.5;1
2023-08-28 07:48:38;18407050;GPA.5466-9496-1754-95088;bomb;bonuses;RU;1;1
2023-08-28 13:04:35;18398799;GPA.1360-4998-7581-87414;dynamite 2;dynamite;FR;12;1
2023-08-28 19:36:27;18390139;GPA.4320-4980-3395-87527;dynamite 2;dynamite;GB;8;1
2023-08-28 20:48:43;18413903;GPA.6691-8743-8715-81413;dynamite 2;dynamite;CN;50;1
2023-08-29 01:42:36;18425381;GPA.7169-5697-1747-31363;bomb;bonuses;IT;8;1
2023-08-30 00:00:32;18418793;GPA.6776-1357-3225-64110;dynamite 2;dynamite;SA;1;1
2023-08-30 03:38:36;18442005;GPA.9747-3883-1373-48799;dynamite 2;dynamite;ID;50;1
2023-08-30 08:24:04;18305638;GPA.4740-7161-1393-83310;dynamite 5;dynamite;GB;1;1
2023-08-30 10:13:52;18433301;GPA.6193-6505-3798-43757;dynamite 2;dynamite;ID;50;1
2023-08-30 19:38:17;18438574;GPA.8208-9371-6250-43757;dynamite 2;dynamite;US;1;1
2023-08-30 23:21:32;18320056;GPA.6725-3710-3104-41056;dynamite 5;dynamite;IT;2.5;1
2023-08-31 00:56:04;18453563;GPA.5570-5730-4349-25672;dynamite 2;dynamite;FR;1;1
2023-08-31 03:39:12;18441677;GPA.3906-1258-7620-90278;dynamite 2;dynamite;FR;8;1
